config,n_signals,lambda1,pct_var_f1,pct_var_f1f2
no_topics,6,3.0210564281002115,50.35094046833688,73.42076552739077
top2_topics,8,3.1885308993670534,39.85663624208818,61.75749731075852
all5_topics,11,3.6878546287799026,33.52595117072639,54.613413410839016
topics_only,5,2.4213460026694342,48.42692005338869,74.6463824389969
